customer_id,total_spend,total_orders,average_order_value,last_order_date,days_since_last_order,customer_segment
13492.0,1269.84,3,423.28,2011-07-26,136,High-value at risk
16842.0,1264.19,3,421.40,2011-08-31,100,High-value at risk
13848.0,1255.00,3,418.33,2011-09-08,92,High-value at risk
17588.0,1240.20,3,413.40,2011-08-31,100,High-value at risk
13476.0,1238.47,2,619.24,2011-06-14,178,High-value at risk
13931.0,1237.53,2,618.77,2011-09-05,95,High-value at risk
17774.0,1225.41,4,306.35,2011-09-04,96,High-value at risk
14745.0,1220.26,5,244.05,2011-08-19,112,High-value at risk
13158.0,1201.06,4,300.27,2011-09-06,94,High-value at risk
17320.0,1200.62,3,400.21,2011-08-31,100,High-value at risk
13752.0,1186.28,6,197.71,2011-08-07,124,High-value at risk
18168.0,1169.94,6,194.99,2011-06-16,176,High-value at risk
16714.0,1161.53,3,387.18,2011-05-05,218,High-value at risk
13744.0,1156.36,2,578.18,2011-09-05,95,High-value at risk
12710.0,1149.02,3,383.01,2011-09-04,96,High-value at risk
17505.0,1145.84,2,572.92,2011-07-01,161,High-value at risk
16766.0,1145.60,2,572.80,2011-03-11,273,High-value at risk
17770.0,1143.27,5,228.65,2011-05-25,198,High-value at risk
15985.0,1142.42,2,571.21,2011-08-08,123,High-value at risk
13330.0,1140.93,3,380.31,2011-09-08,92,High-value at risk
13819.0,1140.35,3,380.12,2011-02-11,301,High-value at risk
16172.0,1140.21,5,228.04,2011-09-05,95,High-value at risk
17242.0,1135.04,2,567.52,2011-08-23,108,High-value at risk
17585.0,1133.07,4,283.27,2011-08-22,109,High-value at risk
16807.0,1121.59,3,373.86,2011-07-20,142,High-value at risk
14276.0,1119.74,3,373.25,2011-09-02,98,High-value at risk
15716.0,1118.81,4,279.70,2011-07-17,145,High-value at risk
14161.0,1110.52,3,370.17,2011-05-08,215,High-value at risk
14817.0,1110.34,2,555.17,2011-05-23,200,High-value at risk
12399.0,1108.65,4,277.16,2011-08-12,119,High-value at risk
12857.0,1106.40,2,553.20,2011-05-13,210,High-value at risk
14410.0,1105.07,9,122.79,2011-09-08,92,High-value at risk
13715.0,1079.34,5,215.87,2011-03-03,281,High-value at risk
16980.0,1078.96,2,539.48,2011-03-29,255,High-value at risk
14352.0,1078.96,4,269.74,2011-07-05,157,High-value at risk
17277.0,1065.35,2,532.68,2011-04-26,227,High-value at risk
12815.0,1063.46,2,531.73,2011-07-15,147,High-value at risk
16214.0,1062.75,3,354.25,2011-06-22,170,High-value at risk
14465.0,1058.62,3,352.87,2011-04-07,246,High-value at risk
14224.0,1050.12,4,262.53,2011-08-21,110,High-value at risk
14078.0,1049.37,6,174.90,2011-08-30,101,High-value at risk
15777.0,1047.11,4,261.78,2011-04-12,241,High-value at risk
16520.0,1046.57,3,348.86,2011-06-06,186,High-value at risk
15192.0,1044.32,3,348.11,2011-08-12,119,High-value at risk
14584.0,1042.26,4,260.57,2011-06-23,169,High-value at risk
16320.0,1038.46,2,519.23,2011-06-20,172,High-value at risk
16175.0,1037.59,4,259.40,2011-09-06,94,High-value at risk
12717.0,1030.98,2,515.49,2011-07-11,151,High-value at risk
13253.0,1030.40,2,515.20,2011-07-06,156,High-value at risk
15104.0,1027.44,2,513.72,2011-05-27,196,High-value at risk
15658.0,1024.10,5,204.82,2011-06-02,190,High-value at risk
14346.0,1021.58,2,510.79,2011-08-11,120,High-value at risk
13376.0,1019.76,3,339.92,2011-09-01,99,High-value at risk
18142.0,1019.52,2,509.76,2011-07-05,157,High-value at risk
14195.0,1012.00,2,506.00,2011-05-22,201,High-value at risk
16572.0,1009.60,3,336.53,2011-08-04,127,High-value at risk
16174.0,1009.55,3,336.52,2011-08-05,126,High-value at risk
17646.0,1008.39,3,336.13,2011-05-04,219,High-value at risk
17126.0,1004.75,5,200.95,2011-07-10,152,High-value at risk
15508.0,1000.27,6,166.71,2011-06-03,189,High-value at risk
18143.0,1000.16,2,500.08,2011-08-15,116,High-value at risk
